season,team,coach_name
2004,UNC Greensboro,Fran McCaffery
2004,Houston,Ray McCallum
2004,UT Arlington,Eddie McCarter
2004,Wyoming,Steve McClain
2004,Northwestern State,Mike McConathy
2004,South Florida,Robert McCullum
2004,Northern Iowa,Greg McDermott
2004,New Mexico,Ritchie McKay
2004,Davidson,Bob McKillop
2004,Evansville,Steve Merfeld
2004,Niagara,Joe Mihalich
2004,Brown,Glen Miller
2004,Coppin State,Fang Mitchell
2004,Minnesota,Dan Monson
2004,Stanford,Mike Montgomery
2004,Iowa State,Wayne Morgan
2004,Utah State,Stew Morrill
2004,Illinois State,Porter Moser
2004,Duquesne,Danny Nee
2004,Elon,Ernie Nestor
2004,Purdue Fort Wayne,Doug Noll
2004,Texas State,Dennis Nutt
2004,Arkansas State,Dickey Nutt
2004,Ohio State,Jim O'Brien*
2004,Lafayette,Fran O'Hanlon
2004,Ohio,Tim O'Shea
2004,Fairfield,Tim O'Toole
2004,South Carolina,Dave Odom
2004,Idaho State,Doug Oliver
2004,Arizona,Lute Olson
2004,Seton Hall,Louis Orr
2004,Southern Illinois,Matt Painter
2004,Colorado,Ricardo Patton
2004,Milwaukee,Bruce Pearl
2004,Hofstra,Tom Pecora
2004,South Alabama,John Pelphrey
2004,Idaho,Leonard Perry
2004,Georgia State,Michael Perry
2004,Tennessee,Buzz Peterson
2004,Alabama A&M,Vann Pettaway
2004,Tulsa,John Phillips
2004,Louisville,Rick Pitino
2004,Charleston Southern,Jim Platt
2004,Georgia Southern,Jeff Price
2004,McNeese,Tic Price
2004,Wake Forest,Skip Prosser
2004,Clemson,Oliver Purnell
2004,Birmingham-Southern,Duane Reboul
2004,Bethune-Cookman,Clifford Reed
2004,Long Beach State,Larry Reynolds
2004,Louisiana Tech,Keith Richard
2004,Youngstown State,John Robic
2004,Washington,Lorenzo Romar
2004,New Hampshire,Phil Rowe
2004,Iona,Jeff Ruland
2004,Utah,Kerry Rupp
2004,Wisconsin,Bo Ryan
2004,Oklahoma,Kelvin Sampson
2004,Radford,Byron Samuels
2004,Eastern Illinois,Rick Samuels
2004,Lipscomb,Scott Sanderson
2004,Robert Morris,Mark Schmidt
2004,Portland State,Heath Schroyer
2004,Air Force,Joe Scott
2004,Gardner-Webb,Rick Scruggs
2004,Kansas,Bill Self
2004,NC State,Herb Sendek
2004,William & Mary,Tony Shaver
2004,Little Rock,Steve Shields
2004,Western Carolina,Steve Shurina
2004,Boston College,Al Skinner Jr
2004,Mercer,Mark Slonaker
2004,Central Michigan,Jay Smith
2004,Kentucky,Tubby Smith
2004,Missouri,Quin Snyder
2004,Saint Louis,Brad Soderberg
2004,St. Bonaventure,Anthony Solomon
2004,UCF,Kirk Speraw
2004,Alabama State,Rob Spivery
2004,UNLV,Charles Spoonhour
2004,UNLV,Jay Spoonhour
2004,Vanderbilt,Kevin Stallings
2004,Mississippi State,Rick Stansbury
2004,Mississippi Valley State,Lafayette Stribling
2004,Coastal Carolina,Pete Strickland
2004,Harvard,Frank Sullivan
2004,UMBC,Tom Sullivan
2004,Oklahoma State,Eddie Sutton
2004,Tennessee Tech,Mike Sutton
2004,Oral Roberts,Scott Sutton
2004,Lehigh,Billy Taylor
2004,Old Dominion,Blaine Taylor
2004,Western Illinois,Derek Thomas
2004,Pacific,Bob Thomason
2004,Princeton,John Thompson III
2004,Samford,Jimmy Tillette
2004,New Orleans,Monte Towe
2004,Maryland-Eastern Shore,Thomas Trotter
2004,Lamar,Billy Tubbs
2004,Wichita State,Mark Turgeon
2004,Louisiana-Monroe,Mike Vining
2004,Richmond,Jerry Wainwright
2004,Binghamton,Al Walker
2004,Hawaii,Riley Wallace
2004,Indiana State,Royce Waltman
2004,Rutgers,Gary Waters
2004,Texas A&M,Melvin Watkins
2004,Detroit Mercy,Perry Watson
2004,Stetson,Derek Waugh
2004,Illinois,Bruce Weber
2004,Providence,Tim Welsh
2004,Alcorn State,Samuel West
2004,Pepperdine,Paul Westphal
2004,Fordham,Dereck Whittenburg
2004,Holy Cross,Ralph Willard
2004,UC Santa Barbara,Bob Williams
2004,Maryland,Gary Williams
2004,UNC,Roy Williams
2004,Rice,Willis Wilson
2004,Buffalo,Reggie Witherspoon
